,MBSD_104.counts,MBSD_106.counts,MBSD_110.counts,MBSD_114.counts,MBSD_119.counts,MBSD_123.counts,MBSD_156.counts,MBSD_158.counts,MBSD_162.counts,MBSD_166.counts,MBSD_168.counts,MBSD_173.counts,X177_coldM_geno1,X182_coldM_geno1,X187_coldM_geno1,X192_coldM_geno1,X194_coldM_geno1,X198_coldM_geno1,X177_coldM_geno2,X182_coldM_geno2,X187_coldM_geno2,X192_coldM_geno2,X194_coldM_geno2,X198_coldM_geno2
ENSMUSG00000000056,1055.0,401.0,826.0,734.0,455.0,530.0,659.0,629.0,813.0,953.0,805.0,775.0,34.0,40.0,27.0,50.0,45.0,36.0,40.0,54.0,36.0,59.0,59.0,23.0
ENSMUSG00000000058,3082.0,1384.0,3269.0,908.0,1831.0,1767.0,1313.0,1452.0,1813.0,1985.0,1919.0,1786.0,290.0,301.0,364.0,498.0,544.0,315.0,263.0,273.0,311.0,482.0,484.0,274.0
ENSMUSG00000000078,1951.0,555.0,1478.0,1653.0,834.0,838.0,626.0,555.0,859.0,715.0,650.0,539.0,15.0,30.0,28.0,72.0,64.0,40.0,26.0,39.0,34.0,63.0,64.0,36.0
ENSMUSG00000000088,8673.0,3181.0,6071.0,2428.0,4115.0,3894.0,2530.0,2989.0,3044.0,5598.0,4966.0,5679.0,1289.0,1436.0,902.0,1721.0,1584.0,456.0,1317.0,1409.0,1061.0,1821.0,1675.0,457.0
ENSMUSG00000000120,51.0,27.0,69.0,55.0,40.0,40.0,33.0,53.0,44.0,73.0,30.0,53.0,10.0,8.0,3.0,10.0,11.0,8.0,5.0,12.0,5.0,15.0,16.0,7.0
ENSMUSG00000000142,698.0,357.0,652.0,649.0,472.0,409.0,469.0,640.0,757.0,834.0,454.0,605.0,48.0,53.0,41.0,70.0,58.0,42.0,58.0,66.0,49.0,89.0,56.0,40.0
ENSMUSG00000000148,393.0,169.0,352.0,149.0,247.0,218.0,198.0,264.0,280.0,322.0,266.0,268.0,15.0,17.0,17.0,16.0,25.0,4.0,20.0,30.0,8.0,14.0,25.0,7.0
ENSMUSG00000000149,3092.0,1237.0,2745.0,947.0,1563.0,1443.0,1385.0,1598.0,1840.0,2694.0,2141.0,2161.0,63.0,88.0,37.0,72.0,66.0,31.0,88.0,106.0,65.0,109.0,73.0,36.0
ENSMUSG00000000184,630.0,175.0,435.0,350.0,305.0,477.0,285.0,357.0,559.0,270.0,268.0,291.0,6.0,10.0,20.0,10.0,15.0,3.0,21.0,22.0,13.0,19.0,27.0,13.0
ENSMUSG00000000194,1549.0,608.0,1344.0,774.0,803.0,775.0,679.0,743.0,902.0,1017.0,811.0,873.0,26.0,31.0,33.0,47.0,49.0,30.0,44.0,49.0,28.0,47.0,60.0,29.0
ENSMUSG00000000253,7579.0,2246.0,7477.0,3924.0,3688.0,5041.0,3106.0,2458.0,3720.0,11472.0,7319.0,5100.0,306.0,489.0,198.0,641.0,404.0,243.0,1380.0,1999.0,862.0,2713.0,1761.0,858.0
ENSMUSG00000000275,1110.0,442.0,780.0,703.0,500.0,547.0,533.0,637.0,732.0,839.0,594.0,671.0,46.0,80.0,66.0,78.0,98.0,59.0,75.0,93.0,90.0,109.0,108.0,75.0
ENSMUSG00000000276,610.0,307.0,643.0,297.0,370.0,321.0,334.0,378.0,375.0,404.0,287.0,356.0,10.0,10.0,12.0,21.0,32.0,19.0,22.0,15.0,23.0,19.0,18.0,23.0
ENSMUSG00000000278,1035.0,414.0,1101.0,701.0,601.0,541.0,619.0,655.0,749.0,1068.0,866.0,799.0,9.0,15.0,7.0,17.0,26.0,10.0,7.0,18.0,7.0,17.0,15.0,6.0
ENSMUSG00000000290,155.0,43.0,104.0,112.0,50.0,70.0,64.0,94.0,120.0,87.0,105.0,154.0,16.0,10.0,7.0,18.0,38.0,15.0,23.0,7.0,15.0,29.0,47.0,4.0
ENSMUSG00000000339,1143.0,428.0,1061.0,487.0,576.0,560.0,301.0,342.0,429.0,452.0,443.0,438.0,49.0,60.0,55.0,67.0,48.0,75.0,34.0,59.0,43.0,60.0,66.0,43.0
ENSMUSG00000000340,9925.0,3825.0,11845.0,6508.0,5401.0,5265.0,5355.0,5572.0,7728.0,8867.0,5746.0,5605.0,296.0,379.0,301.0,462.0,408.0,335.0,332.0,362.0,333.0,392.0,422.0,299.0
ENSMUSG00000000378,596.0,227.0,378.0,276.0,352.0,326.0,264.0,374.0,408.0,529.0,503.0,434.0,25.0,34.0,16.0,32.0,29.0,19.0,32.0,47.0,18.0,42.0,29.0,14.0
ENSMUSG00000000384,3573.0,1356.0,2858.0,1772.0,1724.0,1667.0,1528.0,1709.0,2251.0,2482.0,2098.0,2124.0,282.0,377.0,246.0,360.0,346.0,192.0,309.0,400.0,316.0,471.0,420.0,243.0
ENSMUSG00000000420,3263.0,1481.0,2986.0,1737.0,2114.0,2058.0,1165.0,1403.0,1874.0,1594.0,1529.0,1469.0,124.0,115.0,137.0,210.0,235.0,154.0,139.0,111.0,101.0,170.0,166.0,120.0
ENSMUSG00000000439,1208.0,502.0,1104.0,434.0,610.0,600.0,472.0,589.0,604.0,725.0,572.0,572.0,35.0,41.0,32.0,54.0,50.0,22.0,30.0,34.0,20.0,47.0,44.0,41.0
ENSMUSG00000000440,8094.0,2878.0,5448.0,4936.0,4068.0,4174.0,3994.0,4593.0,5513.0,5614.0,4455.0,4485.0,178.0,188.0,101.0,241.0,212.0,115.0,187.0,207.0,136.0,224.0,194.0,125.0
ENSMUSG00000000441,2280.0,833.0,1634.0,813.0,930.0,994.0,805.0,959.0,1099.0,1178.0,1028.0,1050.0,46.0,28.0,38.0,51.0,46.0,33.0,27.0,52.0,46.0,50.0,47.0,22.0
ENSMUSG00000000530,1191.0,439.0,817.0,684.0,549.0,523.0,505.0,607.0,753.0,925.0,677.0,811.0,46.0,45.0,25.0,66.0,61.0,15.0,39.0,42.0,33.0,66.0,61.0,13.0
ENSMUSG00000000531,246.0,99.0,183.0,234.0,115.0,112.0,100.0,92.0,117.0,104.0,84.0,118.0,11.0,15.0,11.0,15.0,4.0,7.0,4.0,7.0,8.0,7.0,6.0,2.0
